ID,Poet,Poetry,cleaned_text
1,ahmad-faraz,"aañkh se duur na ho dil se utar jā.egā 
vaqt kā kyā hai guzartā hai guzar jā.egā 
itnā mānūs na ho ḳhalvat-e-ġham se apnī 
tū kabhī ḳhud ko bhī dekhegā to Dar jā.egā 
Dūbte Dūbte kashtī ko uchhālā de duuñ 
maiñ nahīñ koī to sāhil pe utar jā.egā 
zindagī terī atā hai to ye jaane vaalā 
terī baḳhshish tirī dahlīz pe dhar jā.egā 
zabt lāzim hai magar dukh hai qayāmat kā 'farāz' 
zālim ab ke bhī na ro.egā to mar jā.egā","aankh se duur na ho dil se utar jaega 
vaqt ka kya hai guzarta hai guzar jaega 
itna manus na ho khalvat-e-gham se apni 
tu kabhi khud ko bhi dekhega to Dar jaega 
Dubte Dubte kashti ko uchhala de duun 
main nahin koi to sahil pe utar jaega 
zindagi teri ata hai to ye jaane vaala 
teri bakhshish tiri dahliz pe dhar jaega 
zabt lazim hai magar dukh hai qayamat ka 'faraz' 
zalim ab ke bhi na roega to mar jaega"
2,ahmad-faraz,"āshiqī meñ 'mīr' jaise ḳhvāb mat dekhā karo 
bāvle ho jāoge mahtāb mat dekhā karo 
jasta jasta paḌh liyā karnā mazāmīn-e-vafā 
par kitāb-e-ishq kā har baab mat dekhā karo 
is tamāshe meñ ulaT jaatī haiñ aksar kashtiyāñ 
Dūbne vāloñ ko zer-e-āb mat dekhā karo 
mai-kade meñ kyā takalluf mai-kashī meñ kyā hijāb 
bazm-e-sāqī meñ adab ādāb mat dekhā karo 
ham se durveshoñ ke ghar aao to yāroñ kī tarah 
har jagah ḳhas-ḳhāna o barfāb mat dekhā karo 
māñge-tāñge kī qabā.eñ der tak rahtī nahīñ 
yaar logoñ ke laqab-alqāb mat dekhā karo 
tishnagī meñ lab bhigo lenā bhī kaafī hai 'farāz' 
jaam meñ sahbā hai yā zahrāb mat dekhā karo","ashiqi men 'mir' jaise khvab mat dekha karo 
bavle ho jaoge mahtab mat dekha karo 
jasta jasta paḌh liya karna mazamin-e-vafa 
par kitab-e-ishq ka har baab mat dekha karo 
is tamashe men ulaT jaati hain aksar kashtiyan 
Dubne valon ko zer-e-ab mat dekha karo 
mai-kade men kya takalluf mai-kashi men kya hijab 
bazm-e-saqi men adab adab mat dekha karo 
ham se durveshon ke ghar aao to yaron ki tarah 
har jagah khas-khana o barfab mat dekha karo 
mange-tange ki qabaen der tak rahti nahin 
yaar logon ke laqab-alqab mat dekha karo 
tishnagi men lab bhigo lena bhi kaafi hai 'faraz' 
jaam men sahba hai ya zahrab mat dekha karo"
3,ahmad-faraz,"ab aur kyā kisī se marāsim baḌhā.eñ ham 
ye bhī bahut hai tujh ko agar bhuul jaa.eñ ham 
sahrā-e-zindagī meñ koī dūsrā na thā 
sunte rahe haiñ aap hī apnī sadā.eñ ham 
is zindagī meñ itnī farāġhat kise nasīb 
itnā na yaad aa ki tujhe bhuul jaa.eñ ham 
tū itnī dil-zada to na thī ai shab-e-firāq 
aa tere rāste meñ sitāre luTā.eñ ham 
vo log ab kahāñ haiñ jo kahte the kal 'farāz' 
he he ḳhudā-na-karda tujhe bhī rulā.eñ ham","ab aur kya kisi se marasim baḌhaen ham 
ye bhi bahut hai tujh ko agar bhuul jaaen ham 
sahra-e-zindagi men koi dusra na tha 
sunte rahe hain aap hi apni sadaen ham 
is zindagi men itni faraghat kise nasib 
itna na yaad aa ki tujhe bhuul jaaen ham 
tu itni dil-zada to na thi ai shab-e-firaq 
aa tere raste men sitare luTaen ham 
vo log ab kahan hain jo kahte the kal 'faraz' 
he he khuda-na-karda tujhe bhi rulaen ham"
4,ahmad-faraz,"ab ke ham bichhḌe to shāyad kabhī ḳhvāboñ meñ mileñ 
jis tarah sūkhe hue phuul kitāboñ meñ mileñ 
DhūñDh ujḌe hue logoñ meñ vafā ke motī 
ye ḳhazāne tujhe mumkin hai ḳharāboñ meñ mileñ 
ġham-e-duniyā bhī ġham-e-yār meñ shāmil kar lo 
nashsha baḌhtā hai sharābeñ jo sharāboñ meñ mileñ 
tū ḳhudā hai na mirā ishq farishtoñ jaisā 
donoñ insāñ haiñ to kyuuñ itne hijāboñ meñ mileñ 
aaj ham daar pe khīñche ga.e jin bātoñ par 
kyā ajab kal vo zamāne ko nisāboñ meñ mileñ 
ab na vo maiñ na vo tū hai na vo maazī hai 'farāz' 
jaise do shaḳhs tamannā ke sarāboñ meñ mileñ","ab ke ham bichhḌe to shayad kabhi khvabon men milen 
jis tarah sukhe hue phuul kitabon men milen 
DhunDh ujḌe hue logon men vafa ke moti 
ye khazane tujhe mumkin hai kharabon men milen 
gham-e-duniya bhi gham-e-yar men shamil kar lo 
nashsha baḌhta hai sharaben jo sharabon men milen 
tu khuda hai na mira ishq farishton jaisa 
donon insan hain to kyuun itne hijabon men milen 
aaj ham daar pe khinche gae jin baton par 
kya ajab kal vo zamane ko nisabon men milen 
ab na vo main na vo tu hai na vo maazi hai 'faraz' 
jaise do shakhs tamanna ke sarabon men milen"
5,ahmad-faraz,"ab ke tajdīd-e-vafā kā nahīñ imkāñ jānāñ 
yaad kyā tujh ko dilā.eñ tirā paimāñ jānāñ 
yūñhī mausam kī adā dekh ke yaad aayā hai 
kis qadar jald badal jaate haiñ insāñ jānāñ 
zindagī terī atā thī so tire naam kī hai 
ham ne jaise bhī basar kī tirā ehsāñ jānāñ 
dil ye kahtā hai ki shāyad hai fasurda tū bhī 
dil kī kyā baat kareñ dil to hai nādāñ jānāñ 
avval avval kī mohabbat ke nashe yaad to kar 
be-piye bhī tirā chehra thā gulistāñ jānāñ 
āḳhir āḳhir to ye aalam hai ki ab hosh nahīñ 
rag-e-mīnā sulag uTThī ki rag-e-jāñ jānāñ 
muddatoñ se yahī aalam na tavaqqo na umiid 
dil pukāre hī chalā jaatā hai jānāñ jānāñ 
ham bhī kyā saada the ham ne bhī samajh rakkhā thā 
ġham-e-daurāñ se judā hai ġham-e-jānāñ jānāñ 
ab ke kuchh aisī sajī mahfil-e-yārāñ jānāñ 
sar-ba-zānū hai koī sar-ba-garebāñ jānāñ 
har koī apnī hī āvāz se kaañp uThtā hai 
har koī apne hī saa.e se hirāsāñ jānāñ 
jis ko dekho vahī zanjīr-ba-pā lagtā hai 
shahr kā shahr huā dāḳhil-e-zindāñ jānāñ 
ab tirā zikr bhī shāyad hī ġhazal meñ aa.e 
aur se aur hue dard ke unvāñ jānāñ 
ham ki rūThī huī rut ko bhī manā lete the 
ham ne dekhā hī na thā mausam-e-hijrāñ jānāñ 
hosh aayā to sabhī ḳhvāb the reza reza 
jaise uḌte hue aurāq-e-pareshāñ jānāñ","ab ke tajdid-e-vafa ka nahin imkan janan 
yaad kya tujh ko dilaen tira paiman janan 
yunhi mausam ki ada dekh ke yaad aaya hai 
kis qadar jald badal jaate hain insan janan 
zindagi teri ata thi so tire naam ki hai 
ham ne jaise bhi basar ki tira ehsan janan 
dil ye kahta hai ki shayad hai fasurda tu bhi 
dil ki kya baat karen dil to hai nadan janan 
avval avval ki mohabbat ke nashe yaad to kar 
be-piye bhi tira chehra tha gulistan janan 
akhir akhir to ye aalam hai ki ab hosh nahin 
rag-e-mina sulag uTThi ki rag-e-jan janan 
muddaton se yahi aalam na tavaqqo na umiid 
dil pukare hi chala jaata hai janan janan 
ham bhi kya saada the ham ne bhi samajh rakkha tha 
gham-e-dauran se juda hai gham-e-janan janan 
ab ke kuchh aisi saji mahfil-e-yaran janan 
sar-ba-zanu hai koi sar-ba-gareban janan 
har koi apni hi avaz se kaanp uThta hai 
har koi apne hi saae se hirasan janan 
jis ko dekho vahi zanjir-ba-pa lagta hai 
shahr ka shahr hua dakhil-e-zindan janan 
ab tira zikr bhi shayad hi ghazal men aae 
aur se aur hue dard ke unvan janan 
ham ki ruThi hui rut ko bhi mana lete the 
ham ne dekha hi na tha mausam-e-hijran janan 
hosh aaya to sabhi khvab the reza reza 
jaise uḌte hue auraq-e-pareshan janan"
6,ahmad-faraz,"ab kyā socheñ kyā hālāt the kis kāran ye zahr piyā hai 
ham ne us ke shahr ko chhoḌā aur āñkhoñ ko muuñd liyā hai 
apnā ye sheva to nahīñ thā apne ġham auroñ ko sauñpeñ 
ḳhud to jāgte yā sote haiñ us ko kyuuñ be-ḳhvāb kiyā hai 
ḳhilqat ke āvāze bhī the band us ke darvāze bhī the 
phir bhī us kūche se guzre phir bhī us kā naam liyā hai 
hijr kī rut jāñ-levā thī par ġhalat sabhī andāze nikle 
taaza rifāqat ke mausam tak maiñ bhī jiyā huuñ vo bhī jiyā hai 
ek 'farāz' tumhīñ tanhā ho jo ab tak dukh ke rasiyā ho 
varna aksar dil vāloñ ne dard kā rasta chhoḌ diyā hai","ab kya sochen kya halat the kis karan ye zahr piya hai 
ham ne us ke shahr ko chhoḌa aur ankhon ko muund liya hai 
apna ye sheva to nahin tha apne gham auron ko saunpen 
khud to jagte ya sote hain us ko kyuun be-khvab kiya hai 
khilqat ke avaze bhi the band us ke darvaze bhi the 
phir bhi us kuche se guzre phir bhi us ka naam liya hai 
hijr ki rut jan-leva thi par ghalat sabhi andaze nikle 
taaza rifaqat ke mausam tak main bhi jiya huun vo bhi jiya hai 
ek 'faraz' tumhin tanha ho jo ab tak dukh ke rasiya ho 
varna aksar dil valon ne dard ka rasta chhoḌ diya hai"
7,ahmad-faraz,"ab shauq se ki jaañ se guzar jaanā chāhiye 
bol ai havā-e-shahr kidhar jaanā chāhiye 
kab tak isī ko āḳhirī manzil kaheñge ham 
kū-e-murād se bhī udhar jaanā chāhiye 
vo vaqt aa gayā hai ki sāhil ko chhoḌ kar 
gahre samundaroñ meñ utar jaanā chāhiye 
ab raftagāñ kī baat nahīñ kārvāñ kī hai 
jis samt bhī ho gard-e-safar jaanā chāhiye 
kuchh to subūt-e-ḳhūn-e-tamannā kahīñ mile 
hai dil tahī to aañkh ko bhar jaanā chāhiye 
yā apnī ḳhvāhishoñ ko muqaddas na jānte 
yā ḳhvāhishoñ ke saath hī mar jaanā chāhiye","ab shauq se ki jaan se guzar jaana chahiye 
bol ai hava-e-shahr kidhar jaana chahiye 
kab tak isi ko akhiri manzil kahenge ham 
ku-e-murad se bhi udhar jaana chahiye 
vo vaqt aa gaya hai ki sahil ko chhoḌ kar 
gahre samundaron men utar jaana chahiye 
ab raftagan ki baat nahin karvan ki hai 
jis samt bhi ho gard-e-safar jaana chahiye 
kuchh to subut-e-khun-e-tamanna kahin mile 
hai dil tahi to aankh ko bhar jaana chahiye 
ya apni khvahishon ko muqaddas na jante 
ya khvahishon ke saath hi mar jaana chahiye"
8,ahmad-faraz,"abhī kuchh aur karishme ġhazal ke dekhte haiñ 
'farāz' ab zarā lahja badal ke dekhte haiñ 
judā.iyāñ to muqaddar haiñ phir bhī jān-e-safar 
kuchh aur duur zarā saath chal ke dekhte haiñ 
rah-e-vafā meñ harīf-e-ḳhirām koī to ho 
so apne aap se aage nikal ke dekhte haiñ 
tū sāmne hai to phir kyuuñ yaqīñ nahīñ aatā 
ye baar baar jo āñkhoñ ko mal ke dekhte haiñ 
ye kaun log haiñ maujūd terī mahfil meñ 
jo lālachoñ se tujhe mujh ko jal ke dekhte haiñ 
ye qurb kyā hai ki yak-jāñ hue na duur rahe 
hazār ek hī qālib meñ Dhal ke dekhte haiñ 
na tujh ko maat huī hai na mujh ko maat huī 
so ab ke donoñ hī chāleñ badal ke dekhte haiñ 
ye kaun hai sar-e-sāhil ki Dūbne vaale 
samundaroñ kī tahoñ se uchhal ke dekhte haiñ 
abhī talak to na kundan hue na raakh hue 
ham apnī aag meñ har roz jal ke dekhte haiñ 
bahut dinoñ se nahīñ hai kuchh us kī ḳhair ḳhabar 
chalo 'farāz' ko ai yaar chal ke dekhte haiñ","abhi kuchh aur karishme ghazal ke dekhte hain 
'faraz' ab zara lahja badal ke dekhte hain 
judaiyan to muqaddar hain phir bhi jan-e-safar 
kuchh aur duur zara saath chal ke dekhte hain 
rah-e-vafa men harif-e-khiram koi to ho 
so apne aap se aage nikal ke dekhte hain 
tu samne hai to phir kyuun yaqin nahin aata 
ye baar baar jo ankhon ko mal ke dekhte hain 
ye kaun log hain maujud teri mahfil men 
jo lalachon se tujhe mujh ko jal ke dekhte hain 
ye qurb kya hai ki yak-jan hue na duur rahe 
hazar ek hi qalib men Dhal ke dekhte hain 
na tujh ko maat hui hai na mujh ko maat hui 
so ab ke donon hi chalen badal ke dekhte hain 
ye kaun hai sar-e-sahil ki Dubne vaale 
samundaron ki tahon se uchhal ke dekhte hain 
abhi talak to na kundan hue na raakh hue 
ham apni aag men har roz jal ke dekhte hain 
bahut dinon se nahin hai kuchh us ki khair khabar 
chalo 'faraz' ko ai yaar chal ke dekhte hain"
9,ahmad-faraz,"agarche zor havāoñ ne Daal rakkhā hai 
magar charāġh ne lau ko sambhāl rakkhā hai 
mohabbatoñ meñ to milnā hai yā ujaḌ jaanā 
mizāj-e-ishq meñ kab e'tidāl rakkhā hai 
havā meñ nashsha hī nashsha fazā meñ rañg hī rañg 
ye kis ne pairahan apnā uchhāl rakkhā hai 
bhale dinoñ kā bharosā hī kyā raheñ na raheñ 
so maiñ ne rishta-e-ġham ko bahāl rakkhā hai 
ham aise sāda-diloñ ko vo dost ho ki ḳhudā 
sabhī ne vāda-e-fardā pe Taal rakkhā hai 
hisāb-e-lutf-e-harīfāñ kiyā hai jab to khulā 
ki dostoñ ne ziyāda ḳhayāl rakkhā hai 
bharī bahār meñ ik shāḳh par khilā hai gulāb 
ki jaise tū ne hathelī pe gaal rakkhā hai 
'farāz' ishq kī duniyā to ḳhūb-sūrat thī 
ye kis ne fitna-e-hijr-o-visāl rakkhā hai","agarche zor havaon ne Daal rakkha hai 
magar charagh ne lau ko sambhal rakkha hai 
mohabbaton men to milna hai ya ujaḌ jaana 
mizaj-e-ishq men kab e'tidal rakkha hai 
hava men nashsha hi nashsha faza men rang hi rang 
ye kis ne pairahan apna uchhal rakkha hai 
bhale dinon ka bharosa hi kya rahen na rahen 
so main ne rishta-e-gham ko bahal rakkha hai 
ham aise sada-dilon ko vo dost ho ki khuda 
sabhi ne vada-e-farda pe Taal rakkha hai 
hisab-e-lutf-e-harifan kiya hai jab to khula 
ki doston ne ziyada khayal rakkha hai 
bhari bahar men ik shakh par khila hai gulab 
ki jaise tu ne hatheli pe gaal rakkha hai 
'faraz' ishq ki duniya to khub-surat thi 
ye kis ne fitna-e-hijr-o-visal rakkha hai"
10,ahmad-faraz,"aisā hai ki sab ḳhvāb musalsal nahīñ hote 
jo aaj to hote haiñ magar kal nahīñ hote 
andar kī fazāoñ ke karishme bhī ajab haiñ 
meñh TuuT ke barse bhī to bādal nahīñ hote 
kuchh mushkileñ aisī haiñ ki āsāñ nahīñ hotīñ 
kuchh aise muamme haiñ kabhī hal nahīñ hote 
shā.istagī-e-ġham ke sabab āñkhoñ ke sahrā 
namnāk to ho jaate haiñ jal-thal nahīñ hote 
kaise hī talātum hoñ magar qulzum-e-jāñ meñ 
kuchh yād-jazīre haiñ ki ojhal nahīñ hote 
ushshāq ke mānind ka.ī ahl-e-havas bhī 
pāgal to nazar aate haiñ pāgal nahīñ hote 
sab ḳhvāhisheñ puurī hoñ 'farāz' aisā nahīñ hai 
jaise ka.ī ash.ār mukammal nahīñ hote","aisa hai ki sab khvab musalsal nahin hote 
jo aaj to hote hain magar kal nahin hote 
andar ki fazaon ke karishme bhi ajab hain 
menh TuuT ke barse bhi to badal nahin hote 
kuchh mushkilen aisi hain ki asan nahin hotin 
kuchh aise muamme hain kabhi hal nahin hote 
shaistagi-e-gham ke sabab ankhon ke sahra 
namnak to ho jaate hain jal-thal nahin hote 
kaise hi talatum hon magar qulzum-e-jan men 
kuchh yad-jazire hain ki ojhal nahin hote 
ushshaq ke manind kai ahl-e-havas bhi 
pagal to nazar aate hain pagal nahin hote 
sab khvahishen puuri hon 'faraz' aisa nahin hai 
jaise kai ashar mukammal nahin hote"
